draft_round,draft_ovr,twitter_username,team,fantasypros_id,sleeper_id,stats_global_id,mfl_id,cbs_id,merge_name,stats_id,rotoworld_id,cfbref_id,nfl_id,height,weight,name,ktc_id,gsis_id,pfr_id,fantasy_data_id,college,sportradar_id,position,birthdate,age,swish_id,draft_pick,yahoo_id,rotowire_id,draft_year,espn_id,pff_id,db_season,fleaflicker_id
7.0,,,DAL,22928.0,12738.0,0.0,17063,26695049.0,phil mafah,42018.0,,,,72.0,234.0,Phil Mafah,1763.0,,,,Clemson,54b97d06-1639-46a3-9dcc-67320687281d,RB,2002-10-24,22.7,,23.0,,18531.0,2025.0,4431562.0,,2025,
4.0,,,LAR,24335.0,11569.0,0.0,17064,26700820.0,jarquez hunter,41919.0,,,,69.0,204.0,Jarquez Hunter,1764.0,,,,Auburn,e71d4c32-3233-467f-ab01-71de34e5d9b4,RB,2002-12-29,22.5,,15.0,,18523.0,2025.0,4710341.0,,2025,
,,,FA,,,0.0,17065,,henry parrish,,,,,70.0,185.0,Henry Parrish,,,,,Mississippi,,RB,,,,,,,2025.0,,,2025,
7.0,,,CHI,27131.0,12534.0,0.0,17066,3177368.0,kyle monangai,42025.0,,,,68.0,211.0,Kyle Monangai,1766.0,,,,Rutgers,6edec23b-f938-40f7-a151-1db5374880dd,RB,2002-06-06,23.1,,17.0,,18520.0,2025.0,4608686.0,,2025,
,,,FA,,,0.0,17067,,john emery,,,,,72.0,220.0,John Emery,,,,,LSU,,RB,,,,,,,2025.0,,,2025,
2.0,,,DEN,27142.0,12489.0,0.0,17068,3121207.0,rj harvey,41845.0,,,,68.0,205.0,RJ Harvey,1768.0,,,,UCF,fc6dbb83-b2b1-4962-b793-e79b2378b525,RB,2001-02-04,24.4,,28.0,,18522.0,2025.0,4568490.0,,2025,
5.0,,,DAL,24344.0,12457.0,0.0,17069,28875227.0,jaydon blue,41935.0,,,,69.0,196.0,Jaydon Blue,1769.0,,,,Texas,f5e6eb8e-2c76-4bf9-b47f-57c62659341d,RB,2004-01-08,21.5,,11.0,,18499.0,2025.0,4685279.0,,2025,
2.0,,,CHI,27016.0,12519.0,0.0,17070,28874444.0,luther burden,41824.0,,,,72.0,206.0,Luther Burden,1770.0,,,,Missouri,a4c21977-c9d1-40f8-abee-0862dfab9195,WR,2003-12-12,21.6,,7.0,,18548.0,2025.0,4685278.0,,2025,
1.0,,,CAR,25417.0,12526.0,0.0,17071,28877124.0,tetairoa mcmillan,41793.0,,,,77.0,212.0,Tetairoa McMillan,1771.0,,,,Arizona,874de000-586c-4999-ac12-02766563e200,WR,2003-04-05,22.2,,8.0,,18547.0,2025.0,4685472.0,,2025,
2.0,,,LAC,26215.0,12509.0,0.0,17072,3162525.0,tre harris,41840.0,,,,74.0,205.0,Tre Harris,1772.0,,,,Ole Miss,a45328a1-7d0e-451a-8176-ea30f0e1c86f,WR,2002-02-28,23.3,,23.0,,18478.0,2025.0,4686612.0,,2025,
4.0,,,TEN,27059.0,12499.0,0.0,17073,28900714.0,elic ayomanor,41904.0,,,,74.0,206.0,Elic Ayomanor,1773.0,,,,Stanford,6c773a16-1a93-4845-a519-d56c85e0090f,WR,2003-06-03,22.1,,34.0,,18552.0,2025.0,4883647.0,,2025,
1.0,,,JAC,26034.0,12530.0,0.0,17074,28909849.0,travis hunter,41787.0,,,,73.0,185.0,Travis Hunter,1774.0,,,,Colorado,4a975d4c-d7cd-45ef-b258-db45187140eb,WR,2003-05-18,22.1,,2.0,,18578.0,2025.0,74398.0,,2025,
1.0,,,GBP,26024.0,12501.0,0.0,17075,28874927.0,matthew golden,41808.0,,,,71.0,191.0,Matthew Golden,1775.0,,,,Texas,d1963360-c011-4764-9a36-9e627073f68f,WR,2003-08-01,21.9,,23.0,,18500.0,2025.0,4701936.0,,2025,
,,,FA,24371.0,12503.0,0.0,17076,,isaiah bond,,,,,71.0,180.0,Isaiah Bond,1776.0,,,,Texas,,WR,,,,,,18502.0,2025.0,,,2025,
,,,TEN,27066.0,12520.0,0.0,17077,3163221.0,xavier restrepo,42368.0,,,,70.0,202.0,Xavier Restrepo,1777.0,,,,Miami (FL),3ac9d7c0-2560-11f0-af22-1731557928d7,WR,2002-04-12,23.2,,,,18466.0,2025.0,4431353.0,,2025,
2.0,,,LVR,27224.0,12483.0,0.0,17078,26700682.0,jack bech,,,,,73.0,214.0,Jack Bech,1778.0,,,,TCU,01079767-a3a3-437d-b935-ea0ecb1fe68b,WR,2002-12-18,22.5,,26.0,,18457.0,2025.0,4603186.0,,2025,
7.0,,,TBB,27147.0,12485.0,0.0,17079,3161539.0,tez johnson,42030.0,,,,69.0,154.0,Tez Johnson,1779.0,,,,Oregon,ad756d40-39a0-4f5c-bbf5-f31f4c3ee0a6,WR,2002-05-18,23.1,,19.0,,18484.0,2025.0,4608810.0,,2025,
3.0,,,HOU,27122.0,12536.0,0.0,17080,26697286.0,jaylin noel,41885.0,,,,71.0,201.0,Jaylin Noel,1780.0,,,,Iowa State,c4bab22e-a89a-41f6-b03a-07073a72f41b,WR,2002-09-04,22.8,,15.0,,18555.0,2025.0,4586312.0,,2025,
1.0,,,TBB,23062.0,12514.0,0.0,17081,26696165.0,emeka egbuka,41804.0,,,,72.0,202.0,Emeka Egbuka,1781.0,,,,Ohio State,00cea287-1fa0-4584-803f-59f546ef8722,WR,2002-10-14,22.7,,19.0,,18549.0,2025.0,4567750.0,,2025,
3.0,,,DEN,27211.0,12492.0,0.0,17082,26697415.0,pat bryant,41860.0,,,,74.0,204.0,Pat Bryant,1782.0,,,,Illinois,2858209e-4aa7-4539-9901-99a4d881229c,WR,2002-12-10,22.6,,10.0,,18562.0,2025.0,4600981.0,,2025,
2.0,,,HOU,27077.0,12484.0,0.0,17083,26708551.0,jayden higgins,41819.0,,,,76.0,215.0,Jayden Higgins,1783.0,,,,Iowa State,f55444a9-ccad-4343-bb03-caca6ea3de99,WR,2002-12-15,22.6,,2.0,,18551.0,2025.0,4877706.0,,2025,
7.0,,,SEA,27186.0,12475.0,0.0,17084,3169795.0,ricky white,42042.0,,,,73.0,184.0,Ricky White,,,,,UNLV,f2e485f8-ba20-4c1c-b279-41dcdcb28d03,WR,2002-02-06,23.4,,22.0,,18560.0,2025.0,4431479.0,,2025,
,,,PIT,27455.0,12972.0,0.0,17085,26733219.0,roc taylor,,,,,73.0,213.0,Roc Taylor,,,,,Memphis,1edb3290-2518-11f0-972e-efd9d03db8c5,WR,2002-08-26,22.9,,,,18651.0,2025.0,4431597.0,,2025,
4.0,,,KCC,27076.0,12505.0,0.0,17086,28924106.0,jalen royals,41891.0,,,,72.0,195.0,Jalen Royals,1786.0,,,,Utah State,0ef78810-a38b-4444-b3b9-fb8b293c567d,WR,2003-02-18,22.4,,31.0,,18550.0,2025.0,5082630.0,,2025,
4.0,,,LVR,27288.0,12541.0,0.0,17087,26694424.0,donte thornton,41892.0,,,,77.0,205.0,Dont'e Thornton,1787.0,,,,Tennessee,483606b2-c0c9-4da2-8fcf-73d2615756c7,WR,2002-11-30,22.6,,6.0,,18558.0,2025.0,4432775.0,,2025,
,,,MIA,27222.0,12860.0,0.0,17088,3124276.0,theo wease,42161.0,,,,74.0,210.0,Theo Wease,,,,,Missouri,277f6ff0-2442-11f0-ac20-e1591f73b631,WR,2001-06-25,24.0,,,,18645.0,2025.0,4426535.0,,2025,
,,,NYG,27218.0,12460.0,0.0,17089,,antwane wells,,,,,72.0,205.0,Antwane Wells,,,,,Ole Miss,483872b0-2630-11f0-b7f1-df7c830143e7,WR,2001-04-02,24.3,,,,18559.0,2025.0,,,2025,
,,,FA,,13108.0,0.0,17090,,julian fleming,42423.0,,,,74.0,208.0,Julian Fleming,,,,,Penn State,3e9fe6f0-2619-11f0-8447-731004665991,WR,2000-12-19,24.5,,,,17067.0,2025.0,4430800.0,,2025,
,,,WAS,22887.0,12532.0,0.0,17091,26702195.0,jacorey brooks,42482.0,,,,75.0,195.0,Ja'Corey Brooks,,,,,Louisville,0ed739f0-29de-11f0-9cc3-6301091945e0,WR,2001-10-31,23.7,,,,18561.0,2025.0,4431506.0,,2025,
,,,GBP,27450.0,13225.0,0.0,17092,,sam brown,42545.0,,,,74.0,195.0,Sam Brown,,,,,Miami,71bd62b0-3ccb-11f0-b22b-71ee09ef21d6,WR,2002-08-15,22.9,,,,18468.0,2025.0,4587977.0,,2025,
,,,KCC,26061.0,12810.0,0.0,17093,3163150.0,elijhah badger,42111.0,,,,73.0,192.0,Elijhah Badger,,,,,Florida,8a410ba0-23a5-11f0-8d5d-1b4f09989b68,WR,2001-08-15,23.9,,,,18570.0,2025.0,4429184.0,,2025,
,,,FA,,,0.0,17094,,kyren lacy,,,,,74.0,213.0,Kyren Lacy,,,,,LSU,,XX,,,,,,18456.0,2025.0,,,2025,
,,,CAR,27075.0,12488.0,0.0,17095,3161851.0,kobe hudson,42404.0,,,,73.0,200.0,Kobe Hudson,,,,,UCF,a6f8abf0-25f7-11f0-8ecb-77a06236c534,WR,,,,,,18557.0,2025.0,4429056.0,,2025,
3.0,,,GBP,27144.0,12482.0,0.0,17096,3161844.0,savion williams,41851.0,,,,76.0,222.0,Savion Williams,1796.0,,,,TCU,06fb642c-b10b-4b23-966a-13668a7c4426,WR,2001-11-22,23.6,,23.0,,18554.0,2025.0,4431487.0,,2025,
3.0,,,MIN,27182.0,12496.0,0.0,17097,26702969.0,tai felton,41859.0,,,,73.0,183.0,Tai Felton,1797.0,,,,Maryland,1eeea030-3313-4aab-b33c-9f836710354a,WR,2003-03-15,22.3,,38.0,,18553.0,2025.0,4565185.0,,2025,
5.0,,,SEA,26022.0,12497.0,0.0,17098,3165177.0,tory horton,41952.0,,,,74.0,196.0,Tory Horton,1798.0,,,,Colorado State,66dd47a3-fb5d-434f-a580-b2069e2904f8,WR,2002-11-29,22.6,,28.0,,17772.0,2025.0,4597703.0,,2025,
5.0,,,LAC,25997.0,12493.0,0.0,17099,26727374.0,oronde gadsden,41951.0,,,,77.0,236.0,Oronde Gadsden,1799.0,,,,Syracuse,6af50530-145a-4b34-946d-ce1a7f7d3166,TE,2003-06-25,22.0,,27.0,,18481.0,2025.0,4595342.0,,2025,
,,,ATL,27263.0,12478.0,0.0,17100,3123884.0,nick nash,,,,,74.0,203.0,Nick Nash,1800.0,,,,San Jose State,e3e4c450-2466-11f0-aa27-6de335b6b2a0,WR,2000-08-02,24.9,,,,18455.0,2025.0,4570242.0,,2025,
7.0,,,BUF,25413.0,12721.0,0.0,17101,26694721.0,kaden prather,42020.0,,,,75.0,204.0,Kaden Prather,,,,,Maryland,557ec8cb-2700-4dcb-8d5e-db0e0e5a8ef5,WR,2002-09-06,22.8,,24.0,,18563.0,2025.0,4431509.0,,2025,
1.0,,,IND,26434.0,12518.0,0.0,17102,3168800.0,tyler warren,41799.0,,,,77.0,256.0,Tyler Warren,1802.0,,,,Penn State,c8fe3913-1210-4142-b9c1-c119ef702ca5,TE,2002-05-24,23.1,,14.0,,18534.0,2025.0,4431459.0,,2025,
3.0,,,CLE,27050.0,12506.0,0.0,17103,28900882.0,harold fannin,41877.0,,,,75.0,241.0,Harold Fannin,1803.0,,,,Bowling Green,8bdf2df7-b51c-4404-b153-8dc62b1e0845,TE,2004-07-20,21.0,,3.0,,18472.0,2025.0,5083076.0,,2025,
1.0,,,CHI,26006.0,12517.0,0.0,17104,28874696.0,colston loveland,41795.0,,,,78.0,248.0,Colston Loveland,1804.0,,,,Michigan,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2,TE,2004-04-09,21.2,,10.0,,18460.0,2025.0,4723086.0,,2025,
4.0,,,TEN,27109.0,12502.0,0.0,17105,26696189.0,gunnar helm,41905.0,,,,77.0,241.0,Gunnar Helm,1805.0,,,,Texas,beb69cba-f240-43ed-88d3-50d066cf55d4,TE,2002-09-06,22.8,,18.0,,18503.0,2025.0,4686728.0,,2025,
2.0,,,NYJ,26005.0,12498.0,0.0,17106,28878064.0,mason taylor,41827.0,,,,77.0,251.0,Mason Taylor,1806.0,,,,LSU,07d2be51-73c2-4f26-81d5-bc6e9b88bff2,TE,2004-05-08,21.2,,10.0,,18535.0,2025.0,4808766.0,,2025,
2.0,,,LAR,23091.0,12487.0,0.0,17107,26701481.0,terrance ferguson,41831.0,,,,77.0,247.0,Terrance Ferguson,1807.0,,,,Oregon,fdfc7b8e-a202-4459-91f8-be6e053e5d29,TE,2003-03-07,22.3,,14.0,,18497.0,2025.0,4570037.0,,2025,
2.0,,,SEA,23004.0,12521.0,0.0,17108,26700496.0,elijah arroyo,,,,,77.0,254.0,Elijah Arroyo,1808.0,,,,Miami (FL),98bc7c8c-e6e4-4694-a0ef-d3f25274223e,TE,2003-04-05,22.2,,18.0,,18540.0,2025.0,4678006.0,,2025,
5.0,,,CAR,27138.0,12473.0,0.0,17109,26693662.0,mitchell evans,41949.0,,,,77.0,258.0,Mitchell Evans,,,,,Notre Dame,788b494d-d624-46ae-a956-81bd10f6a044,TE,2003-03-18,22.3,,25.0,,18545.0,2025.0,4683243.0,,2025,
,,,FA,,11594.0,0.0,17110,2965087.0,brant kuithe,,,,,74.0,236.0,Brant Kuithe,,,,,Utah,,TE,,,,,,18541.0,2025.0,,,2025,
7.0,,,HOU,22977.0,12725.0,0.0,17111,3163014.0,luke lachey,42041.0,,,,78.0,247.0,Luke Lachey,1811.0,,,,Iowa,eeb9ef87-859a-407b-a17a-c671dd6a863a,TE,2001-06-29,24.0,,39.0,,18546.0,2025.0,4432338.0,,2025,
1.0,,,NYG,,12574.0,0.0,17112,28890311.0,abdul carter,41788.0,,,,75.0,259.0,Abdul Carter,,,,,Penn State,95fa8be3-3be8-45bb-9475-60a444e1af74,DE,2004-01-02,21.5,,3.0,,18581.0,2025.0,4725996.0,,2025,
1.0,,,SFO,,12602.0,0.0,17113,28877800.0,mykel williams,41796.0,,,,77.0,260.0,Mykel Williams,,,,,Georgia,b53b3aa5-5ef4-4d54-a4f1-8be678e980d2,DE,2004-06-29,21.0,,11.0,,18584.0,2025.0,4685623.0,,2025,
1.0,,,CIN,,12560.0,0.0,17114,28923420.0,shemar stewart,41802.0,,,,77.0,267.0,Shemar Stewart,,,,,Texas A&M,8343b537-2507-495f-b6ee-7ba6fe582c3d,DE,2003-11-12,21.6,,17.0,,18655.0,2025.0,4685562.0,,2025,
1.0,,,ATL,,12585.0,0.0,17115,28912047.0,james pearce,41811.0,,,,77.0,243.0,James Pearce,,,,,Tennessee,1a3a8a05-9418-48ba-910e-db87caf00bfe,DE,2003-10-12,21.7,,26.0,,18657.0,2025.0,5081394.0,,2025,
4.0,,,PIT,,12593.0,0.0,17116,26693445.0,jack sawyer,41909.0,,,,76.0,260.0,Jack Sawyer,,,,,Ohio State,2743d973-5944-460c-b17c-b1e029b11af9,DE,2002-05-06,23.2,,21.0,,18659.0,2025.0,4431590.0,,2025,
3.0,,,BUF,,12580.0,0.0,17117,26694361.0,landon jackson,41852.0,,,,78.0,264.0,Landon Jackson,,,,,Arkansas,0e8fa07d-6827-477a-acde-467568aa0c7d,DE,2003-01-02,22.5,,8.0,,18663.0,2025.0,4432715.0,,2025,
3.0,,,LAR,,12621.0,0.0,17118,26702426.0,josaiah stewart,41853.0,,,,73.0,249.0,Josaiah Stewart,,,,,Michigan,11a0dc4d-a8fa-44b4-a630-f2a0042268d6,DE,2003-04-26,22.2,,26.0,,18662.0,2025.0,4682983.0,,2025,
2.0,,,CAR,,12562.0,0.0,17119,28921128.0,nic scourton,,,,,74.0,257.0,Nic Scourton,,,,,Texas A&M,3eebb324-cdd9-4c19-b1b8-1e7649fe0737,DE,2004-08-25,20.9,,19.0,,18658.0,2025.0,4833355.0,,2025,
2.0,,,BAL,,12571.0,0.0,17120,26706090.0,mike green,41844.0,,,,75.0,251.0,Mike Green,,,,,Marshall,55b34ff0-64f3-43c1-9030-47f52b9ad394,DE,2003-07-28,21.9,,27.0,,18779.0,2025.0,4683188.0,,2025,
1.0,,,CLE,,12573.0,0.0,17121,28873918.0,mason graham,41790.0,,,,75.0,296.0,Mason Graham,,,,,Michigan,5efacd9e-be9e-4711-8101-e5579ba3274f,DT,2003-09-02,21.8,,5.0,,18461.0,2025.0,4873232.0,,2025,
1.0,,,ATL,,12568.0,0.0,17122,28876549.0,jalon walker,41800.0,,,,74.0,245.0,Jalon Walker,,,,,Georgia,a1788f0e-f637-4333-846e-757b373b98a5,DE,2004-02-24,21.4,,15.0,,18683.0,2025.0,4685597.0,,2025,
1.0,,,PHI,,12566.0,0.0,17123,28875305.0,jihaad campbell,41816.0,,,,75.0,235.0,Jihaad Campbell,,,,,Alabama,d57e75e5-bd90-41be-97e9-c2d2cea5512b,LB,2004-02-24,21.4,,31.0,,18718.0,2025.0,4685287.0,,2025,
4.0,,,CIN,,12646.0,0.0,17124,26701571.0,barrett carter,41906.0,,,,73.0,231.0,Barrett Carter,,,,,Clemson,92ddcecf-9837-460b-9117-b3ec5447e356,LB,2002-10-23,22.7,,17.0,,18720.0,2025.0,4431519.0,,2025,
2.0,,,CIN,,12617.0,0.0,17125,3122236.0,demetrius knight,41834.0,,,,74.0,245.0,Demetrius Knight,,,,,South Carolina,f54f5e3b-da40-4296-a252-8e6a054b35ef,LB,2000-01-04,25.5,,17.0,,18719.0,2025.0,4427729.0,,2025,
4.0,,,NOS,,12650.0,0.0,17126,26708377.0,danny stutsman,41914.0,,,,75.0,233.0,Danny Stutsman,,,,,Oklahoma,1dea6eaf-2631-4fa0-80a8-476bbd93af92,LB,2003-03-10,22.3,,10.0,,18722.0,2025.0,4683215.0,,2025,
2.0,,,ARI,,12565.0,0.0,17127,517294.0,will johnson,41832.0,,,,74.0,194.0,Will Johnson,,,,,Michigan,1a568fbe-4efb-4f67-9866-9b0b4e40b344,CB,2003-03-29,22.3,,15.0,,18462.0,2025.0,4685408.0,,2025,
